title,importance,work_field
Senior SQA Engineer,,sqa
Quality Assurance Test Engineer,,sqa
Senior Quality Engineering Analyst,,sqa
Sr. Quality Engineer,,sqa
Sr Automation Engineer,,sqa
Sr. Manual QA Tester,,sqa
Quality Automation Engineer,,sqa
Quality Assurance Lead,,sqa
Senior Quality Assurance Automation Engineer,,sqa
Lead QA,,sqa
Senior Automation Test Developer,,sqa
Sr Software Test Engineer,,sqa
Software QA Analyst,,sqa
QA Test Automation Engineer,,sqa
Staff Quality Engineer,,sqa
Senior Quality Analyst,,sqa
Sr Quality Assurance,,sqa
Automated Test Engineer,,sqa
Sr Software Quality Engineer,,sqa
Sr. Quality Analyst,,sqa
Automation Quality Assurance,,sqa
UAT Tester,,sqa
Senior AQA Engineer,,sqa
Application Quality Engineer,,sqa
Senior Quality Software Engineer,,sqa
IT QA Automation Advisor,,sqa
Quality Analysts,,sqa
QA & Verifications Engineer,,sqa
Software Engineer - QA Automation,,sqa
Senior SQA Test Engineer,,sqa
QA & Automation Engineer,,sqa
Sr. Software QA Engineer,,sqa
Senior Software Development Engineer in Test,,sqa
Senior Quality Assurance Software Engineer,,sqa
QA Specialist,,sqa
Automation & Manual QA Engineer,,sqa
Senior Software Test Engineering Lead,,sqa
IT Quality Assurance Analyst,,sqa
Automation Quality Engineer,,sqa
Lead QA Engineer,,sqa
Software Engineer in Test,,sqa
QA Engineer,,sqa
Automation tester,,sqa
SQA Tester,,sqa
Software Quality Analyst,,sqa
Software Development Engineer in Test,,sqa
SDET,,sqa
Test Engineer,,sqa
Software Test Analyst,,sqa
Senior Automation Test Engineer,,sqa
QA Manager,,sqa
IT Quality Assurance Analyst,,sqa
Test Automation Software Engineer,,sqa
Senior QE Automation Engineer,,sqa
QA & Testing Advisor,,sqa
Software QA Test Analyst,,sqa
Intermediate Software Tester,,sqa
Lead Software QA Engineer,,sqa
Software Test Engineer,,sqa
Senior Software Quality Engineer,,sqa
Test Automation Engineer,,sqa
Lead Quality Process and Automation Engineer,,sqa
Senior Software QA Automation Engineer,,sqa
Automation Lead,,sqa
QA Automation Engineer,,sqa
Quality Assurance Automation Engineer,,sqa
Test Automation Engineer,,sqa
Senior Software Engineer in Test,,sqa
Software Quality Assurance Manager,,sqa
Senior QA Engineer,,sqa
Senior QA Automation Engineer,,sqa
Senior Automation Tester,,sqa
Lead Test Engineer,,sqa
Senior Software Quality Test Engineer,,sqa
Software Quality Assurance Automation Lead,,sqa
Senior Quality Automation Engineer,,sqa
Software Quality Engineer,,sqa
Lead QA Engineer,,sqa
Automation Engineer,,sqa
QA Test Engineer,,sqa
Senior Test Engineer,,sqa
Software QA Engineer,,sqa
Quality Assurance Analyst,,sqa
Senior QA Analyst,,sqa
Quality Engineer,,sqa
"Software Engineer, SDET",,sqa
Technical Test Lead,,sqa
Software Quality Assurance Lead,,sqa
Senior Quality Engineer,,sqa
Software Quality Assurance Analyst,,sqa
Staff Test Engineer,,sqa
Software Tester,,sqa
Quality Assurance Tester,,sqa
Senior Automation Engineer,,sqa
Quality Assurance Test Analyst,,sqa
Quality Analyst,,sqa
Web QA Engineer,,sqa
QA Software Engineer,,sqa
Quality Assurance,,sqa
Software Developer in Test,,sqa
Software QA Tester,,sqa
Senior Quality Assurance Engineer,,sqa
QA Analyst,,sqa
Quality Assurance Specialist,,sqa
Senior Software QA Engineer,,sqa
Senior Software Test Engineer,,sqa
Sr. QA Engineer,,sqa
"Staff Software Engineer, Test Automation",,sqa
Principal QA Automation Engineer,,sqa
Automation Developer,,sqa
IT Quality Engineer,,sqa
SQA Engineer,,sqa
Automation QA Engineer,,sqa
Senior Software Quality Assurance Engineer,,sqa
QA Tester,,sqa
Automation Test Engineer,,sqa
Staff SDET,,sqa
Senior SDET,,sqa
Associate QA Engineer,,sqa
Sr Automation Quality Assurance Analyst,,sqa
Staff Automation Engineer,,sqa
Documentation Tools and Automation Engineer,,sqa
Software Quality Assurance Specialist,,sqa
Staff QA Engineer,,sqa
Principal Automation Engineer,,sqa
R&D Software Engineer,,sqa
Senior Lead User Acceptance Tester,,sqa
Senior Test Automation Engineer,,sqa
Test Lead,,sqa
Staff Software Developer in Test,,sqa
Staff Software Development Engineer in Test,,sqa
Senior Lead QA Automation,,sqa
QA Lead,,sqa
Software Testing Manager,,sqa
Lead Software Quality Analyst,,sqa
Software Quality Assurance Engineer,,sqa
Software Automation Engineer,,sqa
Quality Assurance Engineer,,sqa
Senior Quality Assurance Engineer,,sqa
Senior Quality Assurance Analyst,,sqa
Sr. Software Quality Engineer,,sqa
Cloud Test Automation Engineer,,sqa
QA Software Tester,,sqa
Sr Software Engineer in Test,,sqa
Software QA Specialist,,sqa
QA Automation Specialist,,sqa
Senior QE Engineer,,sqa
