company_name,website,open_positions_url,hr_platform
Litify,https://www.litify.com/,https://job-boards.greenhouse.io/litify/,greenhouse
Canopy,https://www.getcanopy.com/,https://job-boards.greenhouse.io/canopytax/,greenhouse
Resilience,https://cyberresilience.com/,https://job-boards.greenhouse.io/resilience,greenhouse
Halcyon,https://www.halcyon.ai/,https://job-boards.greenhouse.io/halcyon/,greenhouse
Amount,https://www.amount.com/,https://job-boards.greenhouse.io/amount/,greenhouse
Natera,https://www.natera.com/,https://job-boards.greenhouse.io/natera,greenhouse
Bitly,https://bitly.com/,https://job-boards.eu.greenhouse.io/bitly/,greenhouse
BlueSky,https://bsky.social/,https://bsky.social/about/join,Gem
Teal,https://www.tealhq.com/,https://www.tealhq.com/careers,Ashby
CarsAndBids,,https://ats.rippling.com/cars-and-bids-job-board/jobs,Rippling
Stripe,https://stripe.com/,https://stripe.com/jobs/search?teams=Banking+as+a+Service&teams=Climate&teams=Connect&teams=Crypto&teams=Infrastructure+%26+Corporate+Tech&teams=Mobile&teams=New+Financial+Products&teams=Payments&teams=Platform&teams=Professional+Services&teams=Revenue+%26+Financial+Automation&teams=Tax&teams=Terminal&remote_locations=North+America--US+Remote,
ConsumerReports,https://www.consumerreports.org/,https://job-boards.greenhouse.io/consumerreports,greenhouse
1Password,https://1password.com/,https://jobs.ashbyhq.com/1password,Ashby
