company,website,comment
1Password,https://1password.com,High
Abbott,https://abbott.com,High
AbbVie,https://abbvie.com,High
Accenture,https://accenture.com,High
Accenture Song,https://accenture.com/us-en/about/song-index,High
Accenture Strategy & Consulting,https://accenture.com,High
Acronis,https://acronis.com,High
AgentSync,https://agentsync.io,High
Allstate,https://allstate.com,High
Amazon,https://amazon.com,High
"Ameriprise Financial Services LLC",https://ameriprise.com,High
Apex Fintech Solutions,https://apexfintechsolutions.com,High
Apple,https://apple.com,High
ATTOM Data Solutions,https://attomdata.com,Medium
Avant,https://avant.com,High
Backbase,https://backbase.com,High
Bank of America,https://bankofamerica.com,High
Barclays Investment Bank,https://home.barclays,High
Baxter International Inc.,https://baxter.com,High
Bazaarvoice,https://bazaarvoice.com,High
BCG X,https://bcg.com/x,High
Billtrust,https://billtrust.com,High
Bishop Fox,https://bishopfox.com,High
Bitdefender,https://bitdefender.com,High
BitMart,https://bitmart.com,High
Bloomerang,https://bloomerang.co,High
BMO,https://bmo.com,High
Camunda,https://camunda.com,High
Candidly,https://getcandidly.com,Medium
Capgemini Engineering,https://capgemini.com,High
Caterpillar Inc.,https://cat.com,High
Caylent,https://caylent.com,High
Cboe Global Markets,https://cboe.com,High
CDK Global,https://cdkglobal.com,High
CEX.IO,https://cex.io,High
Charles Schwab,https://schwab.com,High
Cintas,https://cintas.com,High
Cision,https://cision.com,High
Coca-Cola HBC,https://coca-colahbc.com,High
Codal,https://codal.com,High
Coder,https://coder.com,High
Commonwealth Bank,https://commbank.com.au,Medium
CoreLogic,https://corelogic.com,High
Credera,https://credera.com,High
Cyngn,https://cyngn.com,High
DataArt,https://dataart.com,High
Databricks,https://databricks.com,High
Datadog,https://datadoghq.com,High
DataRobot,https://datarobot.com,High
DataSnipper,https://datasnipper.com,High
Deel,https://deel.com,High
Deloitte,https://deloitte.com,High
DePaul University,https://depaul.edu,High
Designory,https://designory.com,Medium
designory,https://designory.com,Medium
DeVry University,https://devry.edu,High
DigitalOcean,https://digitalocean.com,High
Digitas North America,https://digitas.com,High
Direct Supply,https://directsupply.com,Medium
DMI,https://dminc.com,High
DocuSign,https://docusign.com,High
eBay,https://ebay.com,High
ELEKS,https://eleks.com,High
Encora Inc.,https://encora.com,High
Enfusion (Now CWAN),https://enfusion.com,Medium
EPAM Systems,https://epam.com,High
Equitable Bank,https://eqbank.ca,Medium
eToro,https://etoro.com,High
Etsy,https://etsy.com,High
Experian,https://experian.com,High
Farmers Insurance,https://farmers.com,High
Figment,https://figment.io,Medium
Fivetran,https://fivetran.com,High
Floor & Decor,https://flooranddecor.com,High
Follett School Solutions,https://follettlearning.com,High
Follett Software,https://follettlearning.com,High
Front,https://front.com,High
General Motors,https://gm.com,High
GlobalLogic,https://globallogic.com,High
Google,https://google.com,High
GR8 Tech,https://gr8.tech,Medium
Grafana Labs,https://grafana.com,High
GridX Inc,https://gridx.com,Medium
Guaranteed Rate,https://rate.com,Medium
GuideStone Financial Resources,https://guidestone.org,Medium
Hagerty,https://hagerty.com,Medium
Handshake,https://joinhandshake.com,High
Hireology,https://hireology.com,High
Home Chef,https://homechef.com,High
Honeywell,https://honeywell.com,High
Horace Mann,https://horacemann.com,Medium
Hudl,https://hudl.com,High
IBM,https://ibm.com,High
ICANN,https://icann.org,High
Ideals,https://idealscorp.com,Medium
IdeaSoft.io,https://ideasoft.io,Medium
IKEA,https://ikea.com,High
Imprivata,https://imprivata.com,High
Indeed,https://indeed.com,High
Infosys,https://infosys.com,High
Innovecs,https://innovecs.com,Medium
Inovalon,https://inovalon.com,High
IQVIA,https://iqvia.com,High
Itransition Group,https://itransition.com,High
JPMorgan Chase & Co.,https://jpmorganchase.com,High
JPMORGAN CHASE & Co.,https://jpmorganchase.com,High
Kapowai,https://kapowai.com,Medium
kCura,https://relativity.com,High
Kemper,https://kemper.com,High
Kirkland & Ellis,https://kirkland.com,High
Kohler Co.,https://kohler.com,High
Korn Ferry,https://kornferry.com,High
Kubeshark,https://kubeshark.co,High
KUBRA,https://kubra.com,Medium
Lam Research,https://lamresearch.com,High
LaSalle Network,https://thelasallenetwork.com,Medium
LaunchDarkly,https://launchdarkly.com,High
Lenovo,https://lenovo.com,High
LinkedIn,https://linkedin.com,High
Little Caesars Pizza,https://littlecaesars.com,High
Loadmill,https://loadmill.com,High
LogicMonitor,https://logicmonitor.com,High
Maltego Technologies,https://maltego.com,High
Mastercard,https://mastercard.com,High
Mastery Logistics Systems,https://mastery-logistics.com,Medium
Maveris,https://maveris.com,Medium
McDonald's,https://mcdonalds.com,High
McKinsey & Company,https://mckinsey.com,High
Mercado Libre,https://mercadolibre.com,High
Meta,https://meta.com,High
Mezmo,https://mezmo.com,Medium
Microsoft,https://microsoft.com,High
MongoDB,https://mongodb.com,High
Morgan Stanley,https://morganstanley.com,High
Morningstar,https://morningstar.com,High
N-iX,https://n-ix.com,High
Netflix,https://netflix.com,High
NMI,https://nmi.com,Medium
NVIDIA,https://nvidia.com,High
Okta,https://okta.com,High
OLX Group,https://olxgroup.com,High
Omnicom Production,https://omnicomgroup.com,Medium
OpenBet,https://openbet.com,Medium
Oracle,https://oracle.com,High
Paylocity,https://paylocity.com,High
Perchwell,https://perchwell.com,Medium
Perforce Software,https://perforce.com,High
Performio,https://performio.co,Medium
Planning Center,https://planning.center,Medium
Princess Cruises,https://princess.com,High
Procentia,https://procentia.com,Medium
Proposify,https://proposify.com,High
PwC,https://pwc.com,High
Qualcomm,https://qualcomm.com,High
Rachio,https://rachio.com,High
Randstad Digital,https://randstad.com,High
Redfin,https://redfin.com,High
Relativity,https://relativity.com,High
Remote,https://remote.com,High
RevenueWell,https://revenuewell.com,Medium
Rio Tinto,https://riotinto.com,High
Riot Games,https://riotgames.com,High
Rise Interactive,https://riseinteractive.com,High
Robert Half,https://roberthalf.com,High
Rocket Lawyer,https://rocketlawyer.com,High
Rocket Money (formerly Truebill),https://rocketmoney.com,High
RSM,https://rsmus.com,High
Ryerson,https://ryerson.com,High
Salesforce,https://salesforce.com,High
Santa Monica Studio,https://sms.playstation.com,Medium
Scopic,https://scopicsoftware.com,Medium
Scotiabank,https://scotiabank.com,High
SES Satellites,https://ses.com,High
Shopify,https://shopify.com,High
Sidley Austin LLP,https://sidley.com,High
Slalom,https://slalom.com,High
SmartBear,https://smartbear.com,High
"Softjourn, Inc",https://softjourn.com,Medium
SoftServe,https://softserveinc.com,High
"Sprout Social, Inc.",https://sproutsocial.com,High
Starburst,https://starburst.io,High
Strata Decision Technology,https://stratadecision.com,Medium
Stripe,https://stripe.com,High
Superhuman,https://superhuman.com,High
Sutherland,https://sutherlandglobal.com,High
Sweetwater,https://sweetwater.com,High
Tamnoon,https://tamnoon.io,Medium
TaskRabbit,https://taskrabbit.com,High
tastytrade,https://tastytrade.com,High
TDK Corporation of America,https://us.tdk.com,High
Teachers Pay Teachers,https://teacherspayteachers.com,High
Tekmetric,https://tekmetric.com,Medium
TenantCloud,https://tenantcloud.com,Medium
testomat.io,https://testomat.io,High
The Depository Trust & Clearing Corporation (DTCC),https://dtcc.com,High
The Designory,https://designory.com,Medium
Thoughtworks,https://thoughtworks.com,High
Tock,https://exploretock.com,Medium
Trading Technologies,https://tradingtechnologies.com,High
Transwestern,https://transwestern.com,Medium
Trend Micro,https://trendmicro.com,High
TUI,https://tui.com,High
U.S. Bank,https://usbank.com,High
Uber,https://uber.com,High
Unite Us,https://uniteus.com,Medium
United Airlines,https://united.com,High
University of Illinois Urbana-Champaign,https://illinois.edu,High
Upwork,https://upwork.com,High
Valtech,https://valtech.com,Medium
VCA Animal Hospitals,https://vcahospitals.com,High
VelocityEHS,https://velocityehs.com,High
Vend,https://vendhq.com,Medium
Vibes,https://vibes.com,Medium
VillageMD,https://villagemd.com,Medium
Vistex,https://vistex.com,Medium
Vivid Seats LLC,https://vividseats.com,High
VML Enterprise Solutions,https://vml.com,Medium
Warner Bros. Discovery,https://wbd.com,High
Webflow,https://webflow.com,High
Wells Fargo,https://wellsfargo.com,High
WEZOM,https://wezom.com,Medium
Wipfli,https://wipfli.com,High
Wirex,https://wirexapp.com,Medium
WordPress,https://wordpress.com,High
Worldline,https://worldline.com,High
XPO,https://xpo.com,High
Yello.co,https://yello.co,Medium
Yum! Brands,https://yum.com,High
Zensar Technologies,https://zensar.com,High
Zip Co,https://zip.co,Medium
